Run,Amp,Conc (fg/ul),CT
6,4,1.00E+05,13.950
6,4,1.00E+05,13.777
6,4,1.00E+05,13.989
6,4,1.00E+04,16.726
6,4,1.00E+04,16.786
6,4,1.00E+04,16.440
6,4,1.00E+03,20.883
6,4,1.00E+03,20.957
6,4,1.00E+03,20.804
6,4,1.00E+02,23.497
6,4,1.00E+02,23.550
6,4,1.00E+02,23.166
6,4,1.00E+01,26.951
6,4,1.00E+01,26.878
6,4,1.00E+01,26.774
6,4,0.00E+00,Undetermined
6,4,0.00E+00,Undetermined
6,4,0.00E+00,Undetermined
7,5,1.00E+05,12.340
7,5,1.00E+05,11.951
7,5,1.00E+05,11.945
7,5,1.00E+04,15.540
7,5,1.00E+04,15.767
7,5,1.00E+04,15.505
7,5,1.00E+03,19.326
7,5,1.00E+03,19.071
7,5,1.00E+03,18.961
7,5,1.00E+02,22.335
7,5,1.00E+02,22.059
7,5,1.00E+02,22.067
7,5,1.00E+01,25.762
7,5,1.00E+01,25.460
7,5,1.00E+01,25.427
7,5,0.00E+00,Undetermined
7,5,0.00E+00,Undetermined
7,5,0.00E+00,Undetermined
7,7,1.00E+05,11.957
7,7,1.00E+05,11.939
7,7,1.00E+05,11.878
7,7,1.00E+04,15.499
7,7,1.00E+04,15.534
7,7,1.00E+04,15.220
7,7,1.00E+03,19.109
7,7,1.00E+03,19.129
7,7,1.00E+03,19.119
7,7,1.00E+02,22.126
7,7,1.00E+02,22.103
7,7,1.00E+02,22.260
7,7,1.00E+01,25.505
7,7,1.00E+01,25.474
7,7,1.00E+01,25.477
7,7,0.00E+00,Undetermined
7,7,0.00E+00,Undetermined
7,7,0.00E+00,Undetermined
7,10,1.00E+05,12.213
7,10,1.00E+05,12.315
7,10,1.00E+05,12.300
7,10,1.00E+04,15.826
7,10,1.00E+04,15.886
7,10,1.00E+04,15.678
7,10,1.00E+03,19.372
7,10,1.00E+03,19.313
7,10,1.00E+03,19.314
7,10,1.00E+02,22.278
7,10,1.00E+02,22.359
7,10,1.00E+02,22.237
7,10,1.00E+01,25.703
7,10,1.00E+01,25.762
7,10,1.00E+01,25.632
7,10,0.00E+00,Undetermined
7,10,0.00E+00,Undetermined
7,10,0.00E+00,Undetermined
5,1,1.00E-02,Undetermined
2,1,0.00E+00,Undetermined
2,1,0.00E+00,Undetermined
4,1,0.00E+00,Undetermined
4,1,0.00E+00,Undetermined
4,1,0.00E+00,Undetermined
5,1,0.00E+00,Undetermined
6,1,0.00E+00,Undetermined
6,1,0.00E+00,Undetermined
6,1,0.00E+00,Undetermined
8,1,0.00E+00,0
8,1,0.00E+00,0
8,2,1.00E+05,11.804
8,2,1.00E+05,11.855
8,2,1.00E+04,15.079
8,2,1.00E+04,14.985
8,2,1.00E+03,20.046
8,2,1.00E+03,19.969
8,2,1.00E+02,21.861
8,2,1.00E+02,21.832
8,2,1.00E+01,25.756
8,2,1.00E+01,25.742
8,2,0.00E+00,0
8,2,0.00E+00,0
8,4,1.00E+05,11.431
